trial_000013__strong_weak_u8	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000013__strong_weak_u8.json	trial_000013/strong-weak-u8	32768	61440
trial_000013__weak_strong	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000013__weak_strong.json	trial_000013/weak-strong	32768	61440
trial_000013__intermediate_strong	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000013__intermediate_strong.json	trial_000013/intermediate-strong	32768	61440
trial_000013__strong_strong_u8	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000013__strong_strong_u8.json	trial_000013/strong-strong-u8	32768	61440
trial_000014__weak_weak	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000014__weak_weak.json	trial_000014/weak-weak	24576	40960
trial_000014__intermediate_weak	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000014__intermediate_weak.json	trial_000014/intermediate-weak	24576	40960
trial_000014__strong_weak_u8	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000014__strong_weak_u8.json	trial_000014/strong-weak-u8	32768	61440
trial_000014__weak_strong	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000014__weak_strong.json	trial_000014/weak-strong	32768	61440
trial_000014__intermediate_strong	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000014__intermediate_strong.json	trial_000014/intermediate-strong	32768	61440
trial_000014__strong_strong_u8	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000014__strong_strong_u8.json	trial_000014/strong-strong-u8	32768	61440
trial_000015__weak_weak	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000015__weak_weak.json	trial_000015/weak-weak	24576	40960
trial_000015__intermediate_weak	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000015__intermediate_weak.json	trial_000015/intermediate-weak	24576	40960
trial_000015__strong_weak_u8	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000015__strong_weak_u8.json	trial_000015/strong-weak-u8	32768	61440
trial_000015__weak_strong	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000015__weak_strong.json	trial_000015/weak-strong	32768	61440
trial_000015__intermediate_strong	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000015__intermediate_strong.json	trial_000015/intermediate-strong	32768	61440
trial_000015__strong_strong_u8	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000015__strong_strong_u8.json	trial_000015/strong-strong-u8	32768	61440
trial_000016__weak_weak	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000016__weak_weak.json	trial_000016/weak-weak	24576	40960
trial_000016__intermediate_weak	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000016__intermediate_weak.json	trial_000016/intermediate-weak	24576	40960
trial_000016__strong_weak_u8	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000016__strong_weak_u8.json	trial_000016/strong-weak-u8	32768	61440
trial_000016__weak_strong	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000016__weak_strong.json	trial_000016/weak-strong	32768	61440
trial_000016__intermediate_strong	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000016__intermediate_strong.json	trial_000016/intermediate-strong	32768	61440
trial_000016__strong_strong_u8	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000016__strong_strong_u8.json	trial_000016/strong-strong-u8	32768	61440
trial_000017__weak_weak	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000017__weak_weak.json	trial_000017/weak-weak	24576	40960
trial_000017__intermediate_weak	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000017__intermediate_weak.json	trial_000017/intermediate-weak	24576	40960
trial_000017__strong_weak_u8	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000017__strong_weak_u8.json	trial_000017/strong-weak-u8	32768	61440
trial_000017__weak_strong	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000017__weak_strong.json	trial_000017/weak-strong	32768	61440
trial_000017__intermediate_strong	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000017__intermediate_strong.json	trial_000017/intermediate-strong	32768	61440
trial_000017__strong_strong_u8	chtc/phase3_optuna/input/paper_i_hh_route_a_optuna_wave001_20260711_v2/cell_manifests/trial_000017__strong_strong_u8.json	trial_000017/strong-strong-u8	32768	61440
