stage,unit_index,unit_kind,unit_label,base_label,sequence_order,theta_value,reference_energy,energy_prefix,delta_energy_from_previous,energy_full,energy_full_minus_unit,removal_penalty,parameter_count,logical_2q_count,logical_depth,unit_logical_2q_count,unit_logical_depth,energy_gain_per_2q,energy_gain_per_depth,circuit_hash,removal_circuit_hash,full_circuit_hash
warm_start,18,logical_block,"layer3:hh_hop(i=0,j=1,spin=1)","hh_hop(i=0,j=1,spin=1)",18,0.17254035512882127,5.0,0.23965515311772848,0.14227472799820043,0.1577221837772597,0.23507682278441294,0.07735463900715325,18,52,18,2,1,0.07113736399910021,0.14227472799820043,04ffd13fa14ca643,1fc7e27aaae48e53,81a145655c4f20c7
warm_start,19,logical_block,layer3:hh_onsite(i=0),hh_onsite(i=0),19,-0.03832003713393783,5.0,0.23081834306698534,0.008836810050743132,0.1577221837772597,0.16575799340194086,0.008035809624681173,19,54,19,2,1,0.004418405025371566,0.008836810050743132,2e4f2c1067e0349a,f7c6db431b9d895c,81a145655c4f20c7
warm_start,20,logical_block,layer3:hh_onsite(i=1),hh_onsite(i=1),20,-1.6066602310592695,5.0,0.23027389404263404,0.0005444490243513012,0.1577221837772597,0.1575254040781967,-0.0001967796990629822,20,56,20,2,1,0.0002722245121756506,0.0005444490243513012,9de7cfeee07d4b36,178346f8dfcc7fab,81a145655c4f20c7
warm_start,21,logical_block,layer3:hh_phonon(i=0),hh_phonon(i=0),21,0.42417061767420206,5.0,0.23145045678434228,-0.0011765627417082425,0.1577221837772597,0.1587801757842073,0.0010579920069476167,21,58,21,2,1,-0.0005882813708541212,-0.0011765627417082425,660cb241811d035c,235ef6d052ddc251,81a145655c4f20c7
warm_start,22,logical_block,layer3:hh_phonon(i=1),hh_phonon(i=1),22,1.3586235618539007,5.0,0.2236462594093755,0.0078041973749667926,0.1577221837772597,0.1825044373298491,0.024782253552589423,22,60,22,2,1,0.0039020986874833963,0.0078041973749667926,33954c531175d051,1e96b64c31a5c52c,81a145655c4f20c7
warm_start,23,logical_block,layer3:hh_eph(i=0),hh_eph(i=0),23,2.1884817645692047,5.0,0.15411491351806839,0.0695313458913071,0.1577221837772597,0.22721364116943418,0.0694914573921745,23,66,23,6,1,0.011588557648551184,0.0695313458913071,ae5de64129503d7e,4eeb34b990b9b5c6,81a145655c4f20c7
warm_start,24,logical_block,layer3:hh_eph(i=1),hh_eph(i=1),24,0.10047941661049173,5.0,0.1577221837772597,-0.003607270259191303,0.1577221837772597,0.15411491351806839,-0.003607270259191303,24,72,24,6,1,-0.0006012117098652172,-0.003607270259191303,81a145655c4f20c7,ae5de64129503d7e,81a145655c4f20c7
adapt_vqe,1,accepted_operator_insertion,accept1:uccsd_sing(beta:2->3)_0,uccsd_sing(beta:2->3)_0,25,-0.1,0.1362051638254853,0.1305651228154513,0.005640041010034014,0.13056512281545118,0.1362051638254853,0.005640041010034125,1,2,1,2,1,0.002820020505017007,0.005640041010034014,6749979a444c54fb,d99582b8d9e837fb,d2fea529205e5aa0
adapt_vqe,2,accepted_operator_insertion,accept2:hh_termwise_ham_unit_term(exeezeee),hh_termwise_ham_unit_term(exeezeee),26,0.0,0.1362051638254853,0.13056512281545118,1.1102230246251565e-16,0.13056512281545118,0.1305651228154513,1.1102230246251565e-16,2,4,2,2,1,5.551115123125783e-17,1.1102230246251565e-16,cc3207536fb4950e,f51ab513b1905ddb,d2fea529205e5aa0
adapt_vqe,3,accepted_operator_insertion,accept3:hh_termwise_ham_unit_term(exeezeee),hh_termwise_ham_unit_term(exeezeee),27,0.0,0.1362051638254853,0.1305651228154513,-1.1102230246251565e-16,0.13056512281545118,0.1305651228154513,1.1102230246251565e-16,3,6,3,2,1,-5.551115123125783e-17,-1.1102230246251565e-16,5e16662102563440,25b4ee1d8808a84e,d2fea529205e5aa0
